ID_UC_G0,GC_UCN_MAI_2025,GC_UCN_LIS_2025,GC_CNT_GAD_2025,GC_CNT_UNN_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,GC_PLS_SCR_2025,GC_UCB_YOB_2025,GC_UCB_YOD_2025,GC_UCM_CAP
5569,Phú Cường,Phú Cường; Túc Trưng; Phú Túc,Vietnam,Viet Nam,10,68956.99229,Lower Middle,Eastern and South-Eastern Asia,High,2015,2030,0
5570,Palabuhanratu,Palabuhanratu,Indonesia,Indonesia,34,134654.3408,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5571,Yonan,Yonan,North Korea,Dem. People's Republic of Korea,9,83386.51392,Low income,Eastern and South-Eastern Asia,High,1975,2030,0
5572,Iida,Iida,Japan,Japan,26,67538.80757,High income,Eastern and South-Eastern Asia,High,1975,2030,0
5573,Jasaan,Jasaan; Villanueva,Philippines,Philippines,28,86178.18938,Lower Middle,Eastern and South-Eastern Asia,High,2015,2030,0
5574,Rioverde,Rioverde; Ciudad Fernández,México,Mexico,22,72079.84696,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
5575,Grand Junction,Grand Junction,United States,United States of America,56,78680.33903,High income,Northern America,High,2015,2030,0
5576,Açailândia,Açailândia,Brazil,Brazil,17,89347.44668,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
5577,High Wycombe,High Wycombe,United Kingdom,United Kingdom,37,108857.5595,High income,Europe,High,1975,2030,0
5578,Ido Ekiti,Ido Ekiti,Nigeria,Nigeria,18,116695.5985,Lower Middle,Sub-Saharan Africa,High,2005,2030,0
5579,Guelma,Guelma,Algeria,Algeria,25,165531.7655,Lower Middle,Northern Africa and Western Asia,High,1975,2030,0
5580,Bukama,Bukama,Democratic Republic of the Congo,Democratic Republic of the Congo,7,109718.2894,Low income,Sub-Saharan Africa,High,2010,2030,0
5581,Biba,Biba,Egypt,Egypt,13,104726.0349,Lower Middle,Northern Africa and Western Asia,High,1990,2030,0
5582,Tekkeköy,Tekkeköy,Turkey,Turkey,19,82610.91813,Upper Middle,Northern Africa and Western Asia,High,2015,2030,0
5583,Yoshkar-Ola,Yoshkar-Ola,Russia,Russian Federation,48,286453.6342,Upper Middle,Europe,High,1975,2030,0
5584,Sawakin,Sawakin,Sudan,Sudan,22,167296.8612,Low income,Northern Africa and Western Asia,High,2010,2030,0
5585,Gedeb,Gedeb,Ethiopia,Ethiopia,7,85737.67407,Low income,Sub-Saharan Africa,Medium,1990,2030,0
5586,Dehdasht,Dehdasht,Iran,Iran (Islamic Republic of),9,54457.71365,Lower Middle,Central and Southern Asia,High,1975,2030,0
5587,Haleji Sharif,-,Pakistan,Pakistan,17,79868.13445,Lower Middle,Central and Southern Asia,High,2020,2030,0
5588,Bathinda,Bathinda,India,India,64,394005.3314,Lower Middle,Central and Southern Asia,High,1975,2030,0
5589,Kalihati,Kalihati,Bangladesh,Bangladesh,135,325704.8817,Lower Middle,Central and Southern Asia,High,1975,2030,0
5590,Dingbian,Dingbian,China,China,16,88145.43569,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5591,Thaton,Thaton,Myanmar,Myanmar,11,104086.925,Lower Middle,Eastern and South-Eastern Asia,High,1980,2030,0
5592,Pleiku,Pleiku,Vietnam,Viet Nam,48,227851.2746,Lower Middle,Eastern and South-Eastern Asia,High,1990,2030,0
5593,Sungailiat,Sungailiat,Indonesia,Indonesia,23,95964.59577,Upper Middle,Eastern and South-Eastern Asia,High,2000,2030,0
5594,Paechon,Paechon,North Korea,Dem. People's Republic of Korea,5,108376.0895,Low income,Eastern and South-Eastern Asia,Low,1975,2030,0
5595,Shibata,Shibata; Ogawara,Japan,Japan,25,57449.31348,High income,Eastern and South-Eastern Asia,High,2015,2030,0
5596,Midsayap,Midsayap,Philippines,Philippines,23,87377.6063,Lower Middle,Eastern and South-Eastern Asia,High,2020,2030,0
5597,Zumpango,Zumpango,México,Mexico,23,63658.8755,Upper Middle,Latin America and the Caribbean,High,2010,2030,0
5598,Odessa,Odessa,United States,United States of America,67,84418.62813,High income,Northern America,High,1985,2030,0
5599,Bento Gonçalves,Bento Gonçalves,Brazil,Brazil,28,94082.8247,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
5600,Bracknell,Bracknell,United Kingdom,United Kingdom,22,72829.05761,High income,Europe,High,1975,2030,0
5601,Ado Ekiti,Ado Ekiti,Nigeria,Nigeria,107,615574.1737,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
5602,Ain Beida,Ain Beida,Algeria,Algeria,19,169447.9327,Lower Middle,Northern Africa and Western Asia,High,1985,2030,0
5604,Makein,Makein; Saqyet Musa,Egypt,Egypt,18,74354.91059,Lower Middle,Northern Africa and Western Asia,High,2005,2030,0
5605,Yenice,Yenice,Turkey,Turkey,4,98221.6863,Upper Middle,Northern Africa and Western Asia,Low,1980,2030,0
5606,Sal'sk,Sal'sk,Russia,Russian Federation,22,57097.83347,Upper Middle,Europe,High,1975,2030,0
5608,Dilla,Dilla,Ethiopia,Ethiopia,21,180887.1814,Low income,Sub-Saharan Africa,High,1975,2030,0
5609,Najafabad,Najafabad,Iran,Iran (Islamic Republic of),35,159482.8572,Lower Middle,Central and Southern Asia,High,1995,2030,0
5610,Charbagh,Charbagh; Manglawar,Pakistan,Pakistan,25,127389.7841,Lower Middle,Central and Southern Asia,High,2015,2030,0
5611,Siddhpur,Siddhpur,India,India,9,74626.45865,Lower Middle,Central and Southern Asia,High,1990,2030,0
5612,Tangail,Tangail,Bangladesh,Bangladesh,45,403295.7296,Lower Middle,Central and Southern Asia,High,1975,2030,0
5613,Tumed Right Banner,Tumed Right Banner,China,China,19,74041.84778,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5614,Hpa-An,Hpa-An,Myanmar,Myanmar,31,272150.3641,Lower Middle,Eastern and South-Eastern Asia,High,1985,2030,0
5615,Vũng Tàu,Vũng Tàu,Vietnam,Viet Nam,99,476736.9242,Lower Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5616,Toboali,Toboali,Indonesia,Indonesia,19,94133.78108,Upper Middle,Eastern and South-Eastern Asia,High,2000,2030,0
5617,Kosan,Kosan,North Korea,Dem. People's Republic of Korea,7,80505.15711,Low income,Eastern and South-Eastern Asia,High,1975,2030,0
5618,Fukushima,Fukushima,Japan,Japan,68,170142.5921,High income,Eastern and South-Eastern Asia,High,1975,2030,0
5619,Isulan,Isulan,Philippines,Philippines,9,60840.51003,Lower Middle,Eastern and South-Eastern Asia,High,2020,2030,0
5620,Ozumba de Alzate,Ozumba de Alzate; Tepetlixpa; Atlautla,México,Mexico,15,56406.9492,Upper Middle,Latin America and the Caribbean,High,2020,2030,0
5621,Laredo,Laredo,United States,United States of America,88,260013.4578,High income,Northern America,High,1995,2030,0
5622,Pelotas,Pelotas,Brazil,Brazil,68,299134.2832,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
5623,Maidenhead,Maidenhead,United Kingdom,United Kingdom,17,58261.36522,High income,Europe,High,2000,2030,0
5624,Ugborodo,Ugborodo,Nigeria,Nigeria,20,115685.469,Lower Middle,Sub-Saharan Africa,High,2010,2030,0
5625,Sedrata,Sedrata,Algeria,Algeria,6,59500.94894,Lower Middle,Northern Africa and Western Asia,High,2015,2030,0
5626,Lubao,Lubao,Democratic Republic of the Congo,Democratic Republic of the Congo,10,118232.8502,Low income,Sub-Saharan Africa,High,1975,2030,0
5627,Naj al Shaykh Hasan Abu Sabir,Naj al Shaykh Hasan Abu Sabir,Egypt,Egypt,23,105040.8152,Lower Middle,Northern Africa and Western Asia,High,2000,2030,0
5628,Adana,Adana,Turkey,Turkey,128,523157.8865,Upper Middle,Northern Africa and Western Asia,High,1975,2030,0
5629,Novocheboksarsk,Novocheboksarsk,Russia,Russian Federation,22,89352.20902,Upper Middle,Europe,High,1985,2030,0
5631,Adwa,Adwa,Ethiopia,Ethiopia,16,114262.4038,Low income,Sub-Saharan Africa,High,1980,2030,0
5632,Qaem Shahr,Qaem Shahr,Iran,Iran (Islamic Republic of),33,169800.1844,Lower Middle,Central and Southern Asia,High,1980,2030,0
5633,Jamshoro,Jamshoro,Pakistan,Pakistan,21,112368.0865,Lower Middle,Central and Southern Asia,High,1995,2030,0
5634,Rajula,Rajula,India,India,8,61930.8427,Lower Middle,Central and Southern Asia,High,2010,2030,0
5635,Noapara,Noapara,Bangladesh,Bangladesh,32,143173.0009,Lower Middle,Central and Southern Asia,High,1975,2030,0
5636,Yuanzhou,Yuanzhou,China,China,22,112544.1932,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5637,Mawlamyine,Mawlamyine,Myanmar,Myanmar,42,245554.2143,Lower Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5638,Tam Kỳ,Tam Kỳ,Vietnam,Viet Nam,20,85515.67515,Lower Middle,Eastern and South-Eastern Asia,High,1995,2030,0
5639,Cipanas,Cipanas; Palasari; Sindanglaya; Gadog; Sukanagalih; Cibodas; Mangunkerta; Nyalindung; Ciputri; Ciherang,Indonesia,Indonesia,65,535165.9405,Upper Middle,Eastern and South-Eastern Asia,High,1975,2030,0
5640,Kaesong,Kaesong,North Korea,Dem. People's Republic of Korea,15,280963.2347,Low income,Eastern and South-Eastern Asia,High,1975,2030,0
5641,Ishinomaki,Ishinomaki; Higashimatsushima,Japan,Japan,41,106937.7881,High income,Eastern and South-Eastern Asia,High,1975,2030,0
5642,Tacurong,Tacurong,Philippines,Philippines,22,86939.54326,Lower Middle,Eastern and South-Eastern Asia,High,2020,2030,0
5643,Mixquiahuala,Mixquiahuala; Progreso,México,Mexico,15,57947.26111,Upper Middle,Latin America and the Caribbean,High,2020,2030,0
5644,Midland,Midland,United States,United States of America,65,88805.92242,High income,Northern America,High,1995,2030,0
5645,Imperatriz,Imperatriz,Brazil,Brazil,48,233772.2661,Upper Middle,Latin America and the Caribbean,High,1980,2030,0
5646,Bognor Regis,Bognor Regis; Felpham,United Kingdom,United Kingdom,26,63584.68961,High income,Europe,High,1975,2030,0
5647,Zuru,Zuru,Nigeria,Nigeria,18,159044.1041,Lower Middle,Sub-Saharan Africa,High,1975,2030,0
5648,Annaba,Annaba,Algeria,Algeria,80,471638.7452,Lower Middle,Northern Africa and Western Asia,High,1975,2030,0
5650,Jamasa,Jamasa,Egypt,Egypt,22,144132.6322,Lower Middle,Northern Africa and Western Asia,High,2015,2030,0
5651,Çarşamba,Çarşamba,Turkey,Turkey,15,91360.1811,Upper Middle,Northern Africa and Western Asia,High,2000,2030,0
