category|osm_id|lat|lon|name
71|N2993009253|51.4727857|5.5460713|E. Tebak keurslager
84|N2993009265|51.4732131|5.5455565|ALDI
16|N2993825513|51.4800996|5.5432665|Honkbal en Softball Club Nuenen
16|N2993827393|51.4801151|5.5413953|Tennisvereniging De Lissevoort
16|N2993829472|51.4802516|5.5421242|Hockeyclub Nuenen
22|N2994048989|51.4748834|5.5503962|I Fratelli
22|N2994049842|51.4774423|5.5521620|De Lindehof
22|N2994050461|51.4759525|5.5505157|Olijf
22|N2994050508|51.4772175|5.5521119|Pezzaz
22|N2994051760|51.4758803|5.5504256|Le Souris
23|N2994053627|51.4768234|5.5512673|De Aardappeleters
16|N2994408178|51.4863293|5.5686903|Tennisvereniging De Goudhoek
16|N2994409013|51.4859705|5.5676661|RKGSV
22|N2994409020|51.4879771|5.5643808|Olijf
22|N2994410379|51.4891526|5.5657244|Olio
22|N2994410637|51.4868537|5.5643045|De Stam
23|N2994410869|51.4885421|5.5652613|Cafetaria Heuvelplein
84|N3004895312|51.5612686|5.6860911|Jumbo Gemert
16|N3004895324|51.5617878|5.6972295|Voetbalvereniging Gemert
16|N2994517764|51.4926476|5.5205431|Tennisvereniging Nederwetten
22|N2994518006|51.4915218|5.5223179|Grillbar Slinders
16|N2994518194|51.4929166|5.5203401|RKVV Nederwetten
22|N2994519370|51.4917751|5.5202769|Brasserie/Café de Kruik
12|N2994608662|51.5116217|5.5477196|Zorgboerderij Krakenburg
16|N3004871458|51.5636320|5.6987185|Gemertse Lawn-Tennisvereniging
16|N3004871724|51.5644965|5.6993785|Hockeyclub Gemert
16|N3004875210|51.5747438|5.7115792|Voetbalvereniging Handel
59|N3004875989|51.5746766|5.7213610|Waterski & Wakeboardcentrum De Rooye Plas
16|N3004876777|51.5608577|5.6965416|Gemertse Atletiek Club
22|N3004877711|51.5737815|5.6573848|Koks
7|N3004883040|51.5559776|5.6795919|Tandartspraktijk Gemert
22|N3004883699|51.5776584|5.7132382|Foodies & Zo
70|N3004883939|51.5776958|5.7128695|Bakkerij Bèr Vogels
22|N3004885278|51.5780974|5.7135920|Herberg 't Vossenhol
23|N3004885528|51.5788917|5.7134478|Cafetaria De Linde
59|N3004885824|51.5623310|5.6960460|Sporthal Molenbroek
22|N3004885848|51.5789778|5.7134482|'t Hart
53|N3004886779|51.5593514|5.6937489|Fitland Gemert
84|N3004890285|51.5778182|5.7140863|Pryma
33|N3004890322|51.5578137|5.6921543|De Eendracht
16|N3004894738|51.5632462|5.6974148|Gemertse Honk- en Softbalvereniging
21|N3005538851|51.5539449|5.6830066|Gemeentehuis Gemert-Bakel
53|N3005539280|51.5588460|5.6818190|Fit-in Gemert
22|N3005540823|51.5560265|5.6818496|Brasserie KopofMunt
12|N3005541132|51.5556871|5.6824546|ORO Gemert-Bakel
23|N3005541990|51.5486171|5.6829023|Aslan
22|N3005542131|51.5549356|5.6817635|'t Ridderhof
23|N3005542138|51.5579713|5.6891615|De Sleutelbos
22|N3005542184|51.5568600|5.6822578|Smakelijk Gemert
22|N3005542213|51.5563830|5.6815224|Lekker Bijzonder
25|N3005542226|51.5562080|5.6812172|Kroeg van Kaatje
12|N3005542344|51.5544919|5.6855097|Ruijschenbergh
10|N3005542345|51.5545152|5.6855183|Benu
8|N3005542348|51.5544772|5.6855951|Huisartsenpraktijk Palissade
22|N3005543338|51.5548386|5.6818519|Rhodos
16|N3005543384|51.5520128|5.6737376|Scouting Willibrordus Gemert
22|N3005543818|51.5524651|5.6837921|Al Vesuvio
84|N3005544212|51.5535664|5.6848636|Albert Heijn
47|N3005544354|51.5547479|5.6819457|SNS Bank
23|N3005545093|51.5573347|5.6820833|Domino's
29|N3005545779|51.5545274|5.6822212|Café Gij&ik
22|N3005547674|51.5544587|5.6823786|Buskens Gastrobar
7|N3005547684|51.5575768|5.6825385|Samenwerkende Tandartsen Gemert
22|N3005548361|51.5587576|5.6843922|Kota Radja
23|N3005548370|51.5543760|5.6824678|Sam's Grillroom
70|N3005548404|51.5568314|5.6823687|Bakkerij Vedder
22|N3005548426|51.5487428|5.6840658|Villa Polder
23|N3005549361|51.5543367|5.6825269|Cafetaria De Ridder
22|N3005551514|51.5541846|5.6826878|Bottega Di Wendy
78|N3005552680|51.5578918|5.6825957|'t Streeckhuys
23|N3005553143|51.5518150|5.6840821|La Gondola
26|N3005553159|51.5579708|5.6825851|Gimmerse Verleiding
10|N3005553218|51.5586041|5.6822155|Benu
23|N3005553421|51.5569539|5.7011745|Snackcentrum Gemert
29|N3005553453|51.5512940|5.6848765|'t Kaffee
84|N3005553934|51.5570458|5.6809050|Nettorama
14|N3005554004|51.5548516|5.6915798|AniCura
78|N3005554591|51.5545543|5.6924971|Bouwmans Groenten en Fruit
70|N3005554597|51.5545693|5.6925823|Bakker van de Ven
22|N3005555935|51.5529830|5.6835553|Den Engelenburcht
84|N3005556592|51.5569877|5.6834661|Lidl
22|N3005556609|51.5555642|5.6817706|Dientje
22|N3011954430|51.4337997|5.3614312|SchippersStop
31|N3014821335|51.5674225|5.7060940|Time Out
22|N3014821959|51.5038572|5.7407888|Jut&Jul Eten & Drinken
22|N3014822686|51.5038889|5.7409347|Mooi Weer
26|N3014822764|51.5039058|5.7414357|De Gebroeders
10|N3014827587|51.5039856|5.7417005|Alphega apotheek Bakel-Milheeze
22|N3014827863|51.5041554|5.7407442|De Gouden Leeuw
8|N3014827903|51.5050564|5.7410177|Huisartsenpraktijk Bakel
70|N3014828510|51.5032607|5.7403223|Bakkerij Vedder
71|N3014828654|51.5028458|5.7406073|Slagerij G. Welten
16|N3014833873|51.5043003|5.7422347|Open Jongeren Centrum Fuse
16|N3014833912|51.5376753|5.7127086|Voetbalvereniging MVC
16|N3014833914|51.5378713|5.7148071|Tennisvereniging De Mortel
16|N3014834529|51.5105344|5.7407785|Voetbalvereniging Bavos
12|N3014839922|51.5046777|5.7399327|De Wilbertsdries
23|N3014839951|51.5040228|5.7434919|Restaria D'n Belhamel
16|N3014840096|51.5104287|5.7390126|Hockeyclub Bakel
70|N3014840458|51.5040298|5.7403560|Het bakkershuys
22|N3014844686|51.5404580|5.7084862|Café Zaal 't Anker
16|N3014847266|51.5119048|5.7398338|Tennisvereniging De Sprenk
1|N3014847965|51.5047079|5.7426619|Kinderopvang Bakel
23|N3014848433|51.5034473|5.7411186|Cafeteria de Smuller
7|N3014849219|51.5052076|5.7405085|Tandartspraktijk Bakel
84|N3024054410|51.5643350|5.4601288|Albert Heijn
22|N3032256415|51.4703389|5.4942532|Cafetaria Kuil
22|N3041149136|51.4389391|5.4792339|Meneer Frits
64|N3057556265|51.4758804|5.6622584|Station
29|N3064862033|51.3526418|5.3862744|Vandeijck
22|N3076570989|51.4456348|5.5399858|D'n Kleine Dommel
64|N3076941306|51.4754241|5.6298194|Steenoven
63|N3083387166|51.4969544|5.6645447|Helmond, Triangelpad
63|N3102582919|51.4437353|5.4788776|Eindhoven, Centraal Station
63|N3102582920|51.4437244|5.4788017|Eindhoven, Centraal Station
63|N3102582921|51.4437125|5.4787317|Eindhoven, Centraal Station
63|N3102582922|51.4436986|5.4786468|Eindhoven, Centraal Station
63|N3102582923|51.4436897|5.4785683|Eindhoven, Centraal Station
63|N3102582924|51.4436759|5.4784871|Eindhoven, Centraal Station
63|N3102582925|51.4436650|5.4784099|Eindhoven, Centraal Station
63|N3102582926|51.4436519|5.4783225|Eindhoven, Centraal Station
63|N3102582927|51.4436516|5.4782482|Eindhoven, Centraal Station
63|N3102582928|51.4436370|5.4781664|Eindhoven, Centraal Station
63|N3102591729|51.4436615|5.4780813|Eindhoven, Centraal Station
63|N3102591730|51.4436353|5.4780115|Eindhoven, Centraal Station
63|N3102591731|51.4441437|5.4791145|Eindhoven, Centraal Station
63|N3102662782|51.4146947|5.4612087|Eindhoven, HTC/Berkenbos
63|N3102662783|51.4134270|5.4538745|Eindhoven, HTC/Dommeldal
63|N3102662784|51.4065824|5.4614147|Eindhoven, HTC/Heide
63|N3102662785|51.4084855|5.4519223|Eindhoven, HTC/Vijver
64|N3102678867|51.4191034|5.3795661|Platanenlaan
64|N3102683277|51.4183149|5.3766609|Sint Janstraat
63|N3102683278|51.4183426|5.3766502|Oerle, Sint Janstraat
64|N3102684455|51.4189972|5.3796447|Platanenlaan
63|N3102684456|51.4190219|5.3796237|Veldhoven, Platanenlaan
63|N3102723867|51.4266618|5.4575054|Eindhoven, Donizettilaan
63|N3102723868|51.4195928|5.4404606|Eindhoven, Kastelenplein
63|N3102723869|51.4372264|5.4771424|Eindhoven, Keizersgracht
63|N3102723870|51.4328913|5.4654482|Eindhoven, Mecklenburgstraat
63|N3102737794|51.4065112|5.4194392|Veldhoven, MMC Veldhoven Hoofdingang
